,Date,Open,High,Low,Close*,Adj Close**,Volume
34,"Mar 11, 2020",640.20,653.58,613.00,634.23,634.23,13322500
35,"Mar 10, 2020",659.43,668.00,608.00,645.33,645.33,15594400
36,"Mar 09, 2020",605.39,663.00,605.00,608.00,608.00,17073700
37,"Mar 06, 2020",690.00,707.00,684.27,703.48,703.48,12662900
38,"Mar 05, 2020",723.77,745.75,718.07,724.54,724.54,10852700
39,"Mar 04, 2020",763.96,766.52,724.73,749.50,749.50,15049000
40,"Mar 03, 2020",805.00,806.98,716.11,745.51,745.51,25784000
41,"Mar 02, 2020",711.26,743.69,686.67,743.62,743.62,20195000
42,"Feb 28, 2020",629.70,690.52,611.52,667.99,667.99,24564200
43,"Feb 27, 2020",730.00,739.77,669.00,679.00,679.00,24277200
44,"Feb 26, 2020",782.50,813.31,776.11,778.80,778.80,14085500
45,"Feb 25, 2020",849.00,856.60,787.00,799.91,799.91,17290500
46,"Feb 24, 2020",839.00,863.50,822.20,833.79,833.79,15192200
47,"Feb 21, 2020",906.98,913.06,880.45,901.00,901.00,14314800
48,"Feb 20, 2020",911.95,912.00,859.94,899.41,899.41,17634900
49,"Feb 19, 2020",923.50,944.78,901.02,917.42,917.42,25423000
50,"Feb 18, 2020",841.60,860.00,832.36,858.40,858.40,16381700
51,"Feb 14, 2020",787.22,812.97,785.50,800.03,800.03,15693700
52,"Feb 13, 2020",741.84,818.00,735.00,804.00,804.00,26289300
53,"Feb 12, 2020",777.87,789.75,763.37,767.29,767.29,12022500
54,"Feb 11, 2020",768.79,783.51,758.00,774.38,774.38,11697500
55,"Feb 10, 2020",800.00,819.99,752.40,771.28,771.28,24689200
56,"Feb 07, 2020",730.55,769.75,730.00,748.07,748.07,17063500
57,"Feb 06, 2020",699.92,795.83,687.00,748.96,748.96,39880800
58,"Feb 05, 2020",823.26,845.98,704.11,734.70,734.70,48423800
59,"Feb 04, 2020",882.96,968.99,833.88,887.06,887.06,60938800
60,"Feb 03, 2020",673.69,786.14,673.52,780.00,780.00,47233500
61,"Jan 31, 2020",640.00,653.00,632.52,650.57,650.57,15719300
62,"Jan 30, 2020",632.42,650.88,618.00,640.81,640.81,29005700
63,"Jan 29, 2020",575.69,589.80,567.43,580.99,580.99,17801500
64,"Jan 28, 2020",568.49,576.81,558.08,566.90,566.90,11788500
65,"Jan 27, 2020",541.99,564.44,539.28,558.02,558.02,13608100
66,"Jan 24, 2020",570.63,573.86,554.26,564.82,564.82,14353600
67,"Jan 23, 2020",564.25,582.00,555.60,572.20,572.20,19651000
68,"Jan 22, 2020",571.89,594.50,559.10,569.56,569.56,31369000
69,"Jan 21, 2020",530.25,548.58,528.41,547.20,547.20,17803500
70,"Jan 17, 2020",507.61,515.67,503.16,510.50,510.50,13629100
71,"Jan 16, 2020",493.75,514.46,492.17,513.49,513.49,21736700
72,"Jan 15, 2020",529.76,537.84,516.79,518.50,518.50,17368800
73,"Jan 14, 2020",544.26,547.41,524.90,537.92,537.92,28996200
74,"Jan 13, 2020",493.50,525.63,492.00,524.86,524.86,26517600
75,"Jan 10, 2020",481.79,484.94,473.70,478.15,478.15,12959500
76,"Jan 09, 2020",497.10,498.80,472.87,481.34,481.34,28440400
77,"Jan 08, 2020",473.70,498.49,468.23,492.14,492.14,31144300
78,"Jan 07, 2020",461.40,471.63,453.36,469.06,469.06,17882100
79,"Jan 06, 2020",440.47,451.56,440.00,451.54,451.54,10133000
80,"Jan 03, 2020",440.50,454.00,436.92,443.01,443.01,17778500
81,"Jan 02, 2020",424.50,430.70,421.71,430.26,430.26,9532100
82,"Dec 31, 2019",405.00,421.29,402.08,418.33,418.33,10285700
83,"Dec 30, 2019",428.79,429.00,409.26,414.70,414.70,12586400
84,"Dec 27, 2019",435.00,435.31,426.11,430.38,430.38,9945700
85,"Dec 26, 2019",427.91,433.48,426.35,430.94,430.94,10633900
86,"Dec 24, 2019",418.36,425.47,412.69,425.25,425.25,8054700
87,"Dec 23, 2019",411.78,422.01,410.00,419.22,419.22,13319600
88,"Dec 20, 2019",410.29,413.00,400.19,405.59,405.59,14752700
89,"Dec 19, 2019",397.32,406.85,396.50,404.04,404.04,18107100
90,"Dec 18, 2019",380.63,395.22,380.58,393.15,393.15,14121000
91,"Dec 17, 2019",378.99,385.50,375.90,378.99,378.99,8496800
92,"Dec 16, 2019",362.55,383.61,362.50,381.50,381.50,18174200
93,"Dec 13, 2019",361.05,365.21,354.64,358.39,358.39,6570900
94,"Dec 12, 2019",354.92,362.74,353.23,359.68,359.68,7763900
95,"Dec 11, 2019",351.88,357.19,351.09,352.70,352.70,6897800
96,"Dec 10, 2019",339.96,350.73,339.31,348.84,348.84,8828300
97,"Dec 09, 2019",336.59,344.45,335.08,339.53,339.53,9023100
98,"Dec 06, 2019",335.00,338.86,334.77,335.89,335.89,7612400
99,"Dec 05, 2019",332.83,334.42,327.25,330.37,330.37,3724600
100,"Dec 04, 2019",337.75,337.86,332.85,333.03,333.03,5533000
101,"Dec 03, 2019",332.62,337.91,332.19,336.20,336.20,6573700
102,"Dec 02, 2019",329.40,336.38,328.69,334.87,334.87,6074500
103,"Nov 29, 2019",331.11,331.26,327.50,329.94,329.94,2465600
104,"Nov 27, 2019",331.12,333.93,328.57,331.29,331.29,5555600
105,"Nov 26, 2019",335.27,335.50,327.10,328.92,328.92,7947400
106,"Nov 25, 2019",344.32,344.57,334.46,336.34,336.34,12339500
107,"Nov 22, 2019",340.16,341.00,330.00,333.04,333.04,16870600
108,"Nov 21, 2019",354.51,360.84,354.00,354.83,354.83,6110000
109,"Nov 20, 2019",360.00,361.20,349.57,352.22,352.22,6725100
110,"Nov 19, 2019",351.75,359.99,347.80,359.52,359.52,7724800
111,"Nov 18, 2019",352.92,353.15,346.10,349.99,349.99,4400400
112,"Nov 15, 2019",350.64,352.80,348.36,352.17,352.17,4809000
113,"Nov 14, 2019",346.11,353.84,342.91,349.35,349.35,6464900
114,"Nov 13, 2019",355.00,356.33,345.18,346.11,346.11,8420100
115,"Nov 12, 2019",346.90,350.37,344.04,349.93,349.93,7359400
116,"Nov 11, 2019",343.95,349.19,342.00,345.09,345.09,9986700
117,"Nov 08, 2019",334.50,337.46,332.50,337.14,337.14,6069200
118,"Nov 07, 2019",329.14,341.50,328.02,335.54,335.54,14467300
119,"Nov 06, 2019",318.00,326.72,314.50,326.58,326.58,7940900
120,"Nov 05, 2019",319.62,323.51,316.12,317.22,317.22,6943400
121,"Nov 04, 2019",314.80,321.94,309.26,317.47,317.47,8787000
122,"Nov 01, 2019",316.32,316.48,309.80,313.31,313.31,6383900
123,"Oct 31, 2019",313.10,319.00,313.00,314.92,314.92,5067000
124,"Oct 30, 2019",313.00,318.79,309.97,315.01,315.01,9637000
125,"Oct 29, 2019",319.99,324.30,314.75,316.22,316.22,12673300
126,"Oct 28, 2019",327.54,340.84,322.60,327.71,327.71,18860900
127,"Oct 25, 2019",297.72,330.00,296.11,328.13,328.13,29982400
128,"Oct 24, 2019",298.37,304.93,289.20,299.68,299.68,29720900
129,"Oct 23, 2019",254.50,256.14,251.35,254.68,254.68,5261100
130,"Oct 22, 2019",254.32,258.33,250.85,255.58,255.58,4600800
131,"Oct 21, 2019",258.33,259.50,250.18,253.50,253.50,5020300
132,"Oct 18, 2019",260.70,262.80,255.10,256.95,256.95,5749800
133,"Oct 17, 2019",262.50,264.78,260.17,261.97,261.97,4769300
134,"Oct 16, 2019",257.39,262.10,256.92,259.75,259.75,6684100
135,"Oct 15, 2019",257.70,260.00,254.12,257.89,257.89,6432800
136,"Oct 14, 2019",247.90,258.55,247.13,256.96,256.96,10205000
137,"Oct 11, 2019",247.15,251.08,246.81,247.89,247.89,8475400
138,"Oct 10, 2019",245.28,249.28,241.58,244.74,244.74,6283300
139,"Oct 09, 2019",241.32,247.30,240.65,244.53,244.53,6894400
140,"Oct 08, 2019",235.87,243.94,234.50,240.05,240.05,8678200
141,"Oct 07, 2019",229.80,238.56,228.55,237.72,237.72,8064200
142,"Oct 04, 2019",231.61,234.78,228.07,231.43,231.43,7995000
143,"Oct 03, 2019",231.86,234.48,224.28,233.03,233.03,15084500
144,"Oct 02, 2019",243.29,244.65,239.43,243.13,243.13,5631400
145,"Oct 01, 2019",241.50,245.95,239.13,244.69,244.69,6162600
146,"Sep 30, 2019",243.00,243.98,236.11,240.87,240.87,5879800
147,"Sep 27, 2019",242.20,248.71,238.73,242.13,242.13,11116400
148,"Sep 26, 2019",230.66,243.31,227.40,242.56,242.56,11884500
149,"Sep 25, 2019",224.56,228.98,218.36,228.70,228.70,9427100
150,"Sep 24, 2019",241.52,241.99,222.61,223.21,223.21,12891500
151,"Sep 23, 2019",240.00,245.18,239.22,241.23,241.23,4340200
152,"Sep 20, 2019",246.49,246.95,238.16,240.62,240.62,6353000
153,"Sep 19, 2019",246.00,247.94,244.84,246.60,246.60,4795800
154,"Sep 18, 2019",245.00,248.17,242.37,243.49,243.49,4170200
155,"Sep 17, 2019",242.47,245.60,240.37,244.79,244.79,3865400
156,"Sep 16, 2019",246.00,247.43,241.17,242.81,242.81,4728100
157,"Sep 13, 2019",246.96,248.45,244.87,245.20,245.20,5313100
158,"Sep 12, 2019",247.70,253.50,244.40,245.87,245.87,8581200
159,"Sep 11, 2019",237.38,248.17,236.00,247.10,247.10,10042800
160,"Sep 10, 2019",230.80,235.54,228.94,235.54,235.54,4883700
161,"Sep 09, 2019",230.00,233.76,229.23,231.79,231.79,4802700
162,"Sep 06, 2019",227.20,229.64,225.17,227.45,227.45,4189400
163,"Sep 05, 2019",222.50,229.80,220.85,229.58,229.58,7395300
164,"Sep 04, 2019",226.89,228.46,219.21,220.68,220.68,5761000
165,"Sep 03, 2019",224.08,228.95,223.16,225.01,225.01,5354100
166,"Aug 30, 2019",229.15,232.44,224.21,225.61,225.61,9320600
167,"Aug 29, 2019",219.00,223.40,218.00,221.71,221.71,5179500
168,"Aug 28, 2019",213.69,217.25,212.31,215.59,215.59,3225500
169,"Aug 27, 2019",215.74,218.80,212.03,214.08,214.08,5416200
170,"Aug 26, 2019",213.60,215.02,211.54,215.00,215.00,5051900
171,"Aug 23, 2019",219.97,221.17,211.00,211.40,211.40,8538600
172,"Aug 22, 2019",222.80,225.40,218.22,222.15,222.15,6559000
173,"Aug 21, 2019",222.01,223.22,217.60,220.83,220.83,7794300
174,"Aug 20, 2019",227.62,229.09,224.54,225.86,225.86,4125200
175,"Aug 19, 2019",224.21,227.83,221.70,226.83,226.83,5309600
176,"Aug 16, 2019",216.66,222.24,216.02,219.94,219.94,5098500
177,"Aug 15, 2019",220.86,221.56,211.55,215.64,215.64,8159600
178,"Aug 14, 2019",231.21,231.50,216.69,219.62,219.62,9562600
179,"Aug 13, 2019",228.81,236.00,227.55,235.00,235.00,4848100
180,"Aug 12, 2019",232.99,235.77,228.75,229.01,229.01,4663900
181,"Aug 09, 2019",236.05,238.96,233.81,235.01,235.01,3898200
182,"Aug 08, 2019",234.45,239.80,232.65,238.30,238.30,5274300
183,"Aug 07, 2019",226.50,233.57,225.80,233.42,233.42,4776500
184,"Aug 06, 2019",231.88,232.50,225.75,230.75,230.75,5564200
185,"Aug 05, 2019",229.60,231.37,225.78,228.32,228.32,7028300
186,"Aug 02, 2019",231.35,236.27,229.23,234.34,234.34,6136500
187,"Aug 01, 2019",242.65,244.51,231.77,233.85,233.85,8259500
188,"Jul 31, 2019",243.00,246.68,236.65,241.61,241.61,9178200
189,"Jul 30, 2019",232.90,243.36,232.18,242.26,242.26,8109000
190,"Jul 29, 2019",227.09,235.94,226.03,235.77,235.77,9273300
191,"Jul 26, 2019",226.92,230.26,222.25,228.04,228.04,10027700
192,"Jul 25, 2019",233.50,234.50,225.55,228.82,228.82,22418300
193,"Jul 24, 2019",259.17,266.07,258.16,264.88,264.88,11072800
194,"Jul 23, 2019",256.71,260.48,254.50,260.17,260.17,5023100
195,"Jul 22, 2019",258.75,262.15,254.19,255.68,255.68,6842400
196,"Jul 19, 2019",255.69,259.96,254.62,258.18,258.18,7048400
197,"Jul 18, 2019",255.05,255.75,251.89,253.54,253.54,4764500
198,"Jul 17, 2019",255.67,258.31,253.35,254.86,254.86,9764700
199,"Jul 16, 2019",249.30,253.53,247.93,252.38,252.38,8149000
200,"Jul 15, 2019",248.00,254.42,244.86,253.50,253.50,11000100
201,"Jul 12, 2019",239.75,245.38,239.71,245.08,245.08,9200500
202,"Jul 11, 2019",238.14,241.50,235.80,238.60,238.60,7514400
203,"Jul 10, 2019",234.15,238.94,233.14,238.92,238.92,9145700
204,"Jul 09, 2019",228.97,231.00,227.28,230.06,230.06,6190800
205,"Jul 08, 2019",231.24,232.25,228.66,230.34,230.34,5880500
206,"Jul 05, 2019",234.57,235.45,230.80,233.10,233.10,7065700
207,"Jul 03, 2019",239.39,241.57,234.51,234.90,234.90,14201100
208,"Jul 02, 2019",228.89,229.15,222.22,224.55,224.55,9259000
209,"Jul 01, 2019",230.21,233.10,226.28,227.17,227.17,8238000
210,"Jun 28, 2019",220.99,225.17,220.80,223.46,223.46,6851400
211,"Jun 27, 2019",219.45,222.90,217.35,222.84,222.84,6339700
212,"Jun 26, 2019",220.31,227.23,218.10,219.27,219.27,8507200
213,"Jun 25, 2019",224.39,225.34,219.49,219.76,219.76,6182100
214,"Jun 24, 2019",223.24,225.86,221.02,223.64,223.64,5750800
215,"Jun 21, 2019",216.22,222.18,215.50,221.86,221.86,8202100
216,"Jun 20, 2019",223.00,226.90,216.35,219.62,219.62,11863500
217,"Jun 19, 2019",225.11,227.77,221.06,226.43,226.43,6575100
218,"Jun 18, 2019",228.72,234.74,222.56,224.74,224.74,12715800
219,"Jun 17, 2019",215.48,227.00,214.27,225.03,225.03,12316800
220,"Jun 14, 2019",211.25,216.65,210.40,214.92,214.92,7433400
221,"Jun 13, 2019",210.38,214.90,207.51,213.91,213.91,8168300
222,"Jun 12, 2019",222.95,223.38,209.00,209.26,209.26,15186200
223,"Jun 11, 2019",219.14,220.90,213.50,217.10,217.10,11653500
224,"Jun 10, 2019",210.25,216.94,209.01,212.88,212.88,10585000
225,"Jun 07, 2019",205.00,210.84,203.50,204.50,204.50,16003500
226,"Jun 06, 2019",204.44,211.00,201.80,205.95,205.95,20242200
227,"Jun 05, 2019",198.68,201.28,191.85,196.59,196.59,13510800
228,"Jun 04, 2019",181.10,193.98,179.61,193.60,193.60,13807500
229,"Jun 03, 2019",185.51,186.68,176.99,178.97,178.97,13064400
230,"May 31, 2019",185.10,189.92,184.10,185.16,185.16,10406700
231,"May 30, 2019",188.75,192.26,187.02,188.22,188.22,7926500
232,"May 29, 2019",187.10,192.39,185.04,189.86,189.86,11968600
233,"May 28, 2019",191.20,195.00,187.85,188.70,188.70,10312900
234,"May 24, 2019",199.83,199.98,188.75,190.63,190.63,14136600
235,"May 23, 2019",194.34,199.47,186.22,195.49,195.49,26547100
236,"May 22, 2019",199.10,203.94,191.78,192.73,192.73,18685200
237,"May 21, 2019",197.76,207.40,196.04,205.08,205.08,18003900
238,"May 20, 2019",202.80,206.00,195.25,205.36,205.36,20526200
239,"May 17, 2019",221.96,222.24,208.92,211.03,211.03,17786700
240,"May 16, 2019",229.49,231.00,226.50,228.33,228.33,7483300
241,"May 15, 2019",229.32,232.44,225.25,231.95,231.95,7296000
242,"May 14, 2019",229.30,234.50,228.00,232.31,232.31,7252400
243,"May 13, 2019",232.01,232.47,224.50,227.01,227.01,10834800
244,"May 10, 2019",239.75,241.99,236.02,239.52,239.52,7008300
245,"May 09, 2019",242.00,243.68,236.94,241.98,241.98,6711400
246,"May 08, 2019",246.94,250.60,244.20,244.84,244.84,6176400
247,"May 07, 2019",256.80,257.21,245.10,247.06,247.06,10131400
248,"May 06, 2019",250.02,258.35,248.50,255.34,255.34,10833900
249,"May 03, 2019",243.86,256.61,243.49,255.03,255.03,23706800
250,"May 02, 2019",245.52,247.13,237.72,244.10,244.10,18159300
251,"May 01, 2019",238.85,240.00,231.50,234.01,234.01,10704400
252,"Apr 30, 2019",242.06,244.21,237.00,238.69,238.69,9464600
